abbrv, placeName
STX,St.Stephens Green
HIN,Heuston
HCT,Heuston
TPT,ThePoint
SDK,SpencerDock
MYS,MayorSquare NCI
GDK,George'sDock
CON,Connolly
BUS,Busáras
ABB,AbbeyStreet
JER,Jervis
FOU,FourCourts
SMI,Smithfield
MUS,Museum
HEU,Heuston
JAM,James's
FAT,Fatima
RIA,Rialto
SUI,SuirRoad
GOL,Goldenbridge
DRI,Drimnagh
BLA,Blackhorse
BLU,Bluebell
KYL,Kylemore
RED,RedCow
KIN,Kingswood
BEL,Belgard
COO,Cookstown
HOS,Hospital
TAL,Tallaght
FET,Fettercairn
CVN,Cheeverstown
CIT,Citywest Campus
FOR,Fortunestown
SAG,Saggart
DEP,Depot
BRO,Broombridge
CAB,Cabra
PHI,Phibsborough
GRA,Grangegorman
BRD,Broadstone DIT
DOM,Dominick
PAR,Parnell
OUP,O'Connell Upper
OGP,O'Connell GPO
MAR,Marlborough
WES,Westmoreland
TRY,Trinity
DAW,Dawson
STS,St.Stephens Green
HAR,Harcourt
CHA,Charlemont
RAN,Ranelagh
BEE,Beechwood
COW,Cowper
MIL,Milltown
WIN,Windy Arbour
DUN,Dundrum
BAL,Balally
KIL,Kilmacud
STI,Stillorgan
SAN,Sandyford
CPK,Central Park
GLE,Glencairn
GAL,The Gallops
LEO,Leopardstown Valley
BAW,BallyoganWood
RCC,Racecourse
CCK,Carrickmines
BRE,Brennanstown
LAU,Laughanstown
CHE,Cherrywood
BRI,Bride's Glen
